source,target,weight
434,538,3.2417
434,761,2.8533
434,753,2.7532
434,998,2.7206
434,660,2.6006
434,740,2.5802
434,1258,2.5509
434,836,2.5279
373,387,9.0991
373,463,7.5695
373,506,6.0189
373,1188,4.6006
373,525,3.5118
373,849,3.4011
373,609,3.2658
373,912,3.2042
373,909,3.0827
373,1256,3.0625
373,1002,3.0532
373,517,3.0027
373,901,2.8735
373,783,2.7515
373,1142,2.735
373,1019,2.6777
373,487,2.5536
373,1333,2.5018
373,642,2.4905
373,1301,2.4741
373,1349,2.4424
373,1251,2.2819
373,737,2.2183
373,900,2.2088
373,855,2.201
373,811,2.1992
373,547,2.196
373,697,2.1935
152,297,36.9231
152,584,17.0519
152,1015,14.2327
152,583,14.1169
152,744,13.7864
152,367,12.6561
152,764,11.1975
152,1027,9.7923
152,286,8.8944
152,227,6.9737
152,322,6.2156
152,296,6.1389
152,565,5.4309
152,385,5.3746
152,547,5.2195
152,347,5.215
152,193,4.8666
152,1021,4.728
152,702,4.6315
152,273,4.5716
152,352,4.4596
152,453,4.1143
152,323,3.936
152,877,3.911
152,894,3.8415
152,380,3.8337
152,569,3.8268
152,278,3.8188
152,337,3.7693
152,1136,3.7558
152,215,3.7361
152,668,3.6676
152,363,3.6643
152,947,3.653
152,1131,3.5991
345,579,13.7113
345,636,9.3032
345,1017,8.1576
345,383,6.6131
345,649,6.5487
345,622,6.4891
345,860,6.4432
345,714,5.6326
345,635,5.2527
345,457,4.9015
345,857,4.8555
345,667,4.8321
345,504,4.5838
345,476,4.426
345,544,4.3633
345,432,4.147
345,1157,4.049
345,756,3.9871
345,852,3.8303
345,983,3.8266
345,863,3.8166
345,674,3.7513
345,472,3.6568
345,549,3.5559
345,1331,3.2997
345,809,3.1825
345,506,3.173
345,1372,3.1477
1230,1251,2.545
1230,1249,2.0286
636,649,13.8826
636,648,6.1359
636,665,5.2629
636,1033,4.8877
636,809,4.4964
636,720,3.9641
636,783,3.8585
636,852,3.5276
636,771,3.4819
636,667,3.3349
636,864,3.3184
636,839,3.2558
636,707,3.0394
636,1372,3.0092
636,685,2.7875
636,1323,2.7329
636,662,2.5091
1037,1086,3.8164
1037,1157,2.2178
1037,1178,2.1919
162,345,11.1979
162,383,7.5506
162,495,6.558
162,278,5.7213
162,472,5.5783
162,223,5.4351
162,386,5.3775
162,330,5.3092
162,667,5.2926
162,337,4.9941
162,968,4.6857
162,579,4.6731
162,934,4.6412
162,544,4.3979
162,411,4.3255
162,457,4.2685
162,207,4.1246
162,379,4.0989
162,288,4.0402
162,714,4.0007
162,293,3.981
162,377,3.9606
162,836,3.9021
162,720,3.8965
162,512,3.8496
162,399,3.8454
162,484,3.7781
162,608,3.7546
162,951,3.5964
162,648,3.4824
342,824,12.9259
342,492,11.7105
342,1184,10.0703
342,725,8.1719
