id,label,size
354,puppet show,9
355,excercise,9
356,survive,9
357,dark future,9
358,loss of eyesight,9
359,information technology,9
360,cab driver,9
361,drunk driving,9
362,sacrifice,9
363,driving,9
364,u.s. marshal,9
365,south seas,9
366,sleeplessness,9
367,lie,9
368,running,9
369,new neighbor,9
370,cheetah,9
371,coal,9
372,elope,8
373,spoof,8
374,real story,8
375,strange,8
376,mexican american,8
377,sexual obsession,8
378,trust,8
379,married woman,8
380,rent,8
381,computer program,8
382,italian immigrant,8
383,polyamory,8
384,self mutilation,8
385,politician,8
386,sexual torture,8
387,super hero,8
388,missouri,8
389,gothic horror,8
390,wife swapping,8
391,satanic ritual abuse,8
392,publisher,8
393,leather jacket,8
394,greek,8
395,talking to animals,8
396,crime documentary,8
397,patriarch,8
398,riviera,8
399,birthday,8
400,veterans,8
401,nazi propaganda,8
402,gold mine,8
403,v-cinema,8
404,research,8
405,volcano eruption,8
406,assassination of president,8
407,ske48,8
408,d-day,8
409,spiritual journey,8
410,jewelry heist,8
411,psychotic break,8
412,korean,8
413,project,8
414,composer,8
415,royal court,8
416,website,8
417,alternative,8
418,batman,8
419,emigrant,8
420,powerful,8
421,southeast asia,8
422,andalucia,8
423,croatia,8
424,hunchback,8
425,miser,8
426,lumberjack,8
427,online dating,8
428,american football team,8
429,biracial,8
430,magic realism,8
431,girls' school,8
432,religious belief,8
433,heroes,8
434,cellar,8
435,general,8
436,vienna,8
437,deep south,8
438,clarinet,8
439,mental illness,8
440,life challenges,8
441,existence,8
442,architecture history,8
443,female painter,8
444,adopted son,8
445,older woman seduces younger guy,8
446,us army,8
447,hand to hand combat,8
448,carefree,8
449,stranded,8
450,senegal,8
451,prison life,8
452,strong woman,8
453,bus station,8
454,ex-girlfriend,8
455,trailer trash,8
456,homeless,8
457,petite woman,8
458,sexual exploration,8
459,digital,8
460,newspaper man,8
461,gun control,8
462,cine independiente,8
463,political satire,8
464,folk tale,8
465,glasses,8
466,mutation,8
467,supernatural creature,8
468,arms dealer,8
469,cuban revolution,8
470,experimental film,8
471,family friendly,8
472,sexual massage,8
473,juvenile delinquency,8
474,morality,8
475,madagascar,8
476,pervert,8
477,junk food,8
478,gunfighter,8
479,summer camp,8
480,gender dysphoria,8
481,stopmotion,8
482,chinese,8
483,soundscape,8
484,fish out of water,8
485,ice,8
486,parolee,8
487,college friends,8
488,incurable disease,8
489,dark secret,8
490,pizza delivery boy,8
491,metaphysics,8
492,mother son relationship,8
493,olympic athlete,8
494,pop punk,8
495,pool,8
496,contamination,8
497,chimp,8
498,sexual exploitation,8
499,tears,8
500,humanity and the world around us,8
501,bible quote,8
502,owl,8
503,meat,8
504,assistant,8
505,cattle ranch,8
506,british secret service,8
507,roller coaster / rollercoaster,8
508,masked villain,8
509,ethnography,8
510,ex military,8
511,culture shock,8
512,tree,8
513,bulimia,8
514,police officer,8
515,sickness,8
516,right wing,7
517,tent,7
518,trial,7
519,power,7
520,brothers,7
521,pub rock,7
522,bed,7
523,religious community,7
524,mischievous,7
525,redneck,7
526,abused child,7
527,multiverse,7
528,mind,7
529,freedom,7
530,russian woman,7
531,life,7
532,internet chat,7
533,rock singer,7
534,octopus,7
535,traditional values,7
536,years of lead,7
537,entrepreneurship,7
538,old hollywood,7
539,desert,7
540,power outage,7
541,boys' school,7
542,ambient,7
543,nihilism,7
544,muscles,7
545,animal abuse,7
546,cover-up,7
547,innuendo,7
548,documentary short,7
549,macao,7
550,failure,7
551,roadhouse,7
552,reputation,7
553,aquarium,7
554,south africa,7
555,the idolm@ster,7
556,little people,7
557,laboratory,7
558,graduate student,7
559,small village,7
560,generation z,7
561,explorer,7
562,transgender rights,7
563,pernambuco,7
564,domineering mother,7
565,whistleblower,7
566,brother-in-law,7
567,confederate soldier,7
568,cortometraje,7
569,door to door salesman,7
570,technicolor,7
571,girl band,7
572,mental health care,7
573,ethnic stereotype,7
574,martial arts training,7
575,ottoman empire,7
576,motogp,7
577,surf,7
578,hawaii,7
579,blow job,7
580,plot twist,7
581,political persecution,7
582,secret formula,7
583,scam,7
584,money problems,7
585,torment,7
586,reincarnation,7
587,neurodiversity,7
588,disturbing,7
589,lawsuit,7
590,love and romance,7
591,mystical,7
592,autumn,7
593,british prime minister,7
594,flower troupe,7
595,mexica (aztec),7
596,cuckold,7
597,calgary,7
598,society,7
599,plastic surgeon,7
600,tenderness,7
601,whales,7
602,fever dream,7
603,dead soldier,7
604,rwanda,7
605,remorse,7
606,cyberbullying,7
607,rural,7
608,sex,7
609,proto-slasher,7
610,voetbal,7
611,historical figure,7
612,shipwrecked,7
613,conservation,7
614,newsreel,7
615,personification,7
616,strangle,7
617,role reversal,7
618,beanstalk,7
619,hopeless romantic,7
620,filipino american,7
621,snowboard,7
622,double cross,7
623,childhood,7
624,madman,7
625,adult video,7
626,memory,7
627,ultimatum,7
628,zorro,7
629,drug,7
630,evil child,7
631,marriage proposal,7
632,48hourfilmfestival,7
633,sexual tension,7
634,celebratory,7
635,beautiful landscapes,7
636,cum swallowing,7
637,architecture,7
638,improvisational theatre,7
639,chinese new year,7
640,sunset,7
641,fine art,7
642,micro budget,7
643,social network,7
644,forced prostitution,7
645,new wave,7
646,framed,7
647,russia,7
648,bukkake,7
649,new faces,7
650,child cancer,7
651,media criticism,7
652,baseball pitcher,7
653,shopping,7
654,orphanage,7
